('WHY', 'WRB')
('THE', 'DT')
('BEAR', 'NNP')
('IS', 'NNP')
('STUMPY-TAILED', 'JJ')
('One', 'NNP')
('day', 'NN')
('Bear', 'NNP')
('met', 'VBD')
('Fox', 'NNP')
(',', ',')
('came', 'VBD')
('slinking', 'VBG')
('along', 'RB')
('string', 'VBG')
('fish', 'JJ')
('stolen', 'VBN')
('.', '.')
("'Whence", 'NN')
('get', 'VB')
('?', '.')
("'", "''")
('asked', 'VBN')
('Bear', 'NNP')
('.', '.')
("'Oh", 'CD')
('!', '.')
('Lord', 'NNP')
('Bruin', 'NNP')
(',', ',')
('I', 'PRP')
("'ve", 'VBP')
('fishing', 'VBG')
('caught', 'NN')
("'", "''")
(',', ',')
('said', 'VBD')
('Fox', 'NNP')
('.', '.')
('So', 'RB')
('Bear', 'NNP')
('mind', 'NN')
('learn', 'NN')
('fish', 'NN')
(',', ',')
('bade', 'VB')
('Fox', 'NNP')
('tell', 'NN')
('set', 'NN')
('.', '.')
("'Oh", 'CD')
('!', '.')
("'s", 'POS')
('easy', 'JJ')
('craft', 'NN')
("'", "''")
(',', ',')
('answered', 'VBD')
('Fox', 'NNP')
(',', ',')
("'and", 'NNP')
('soon', 'RB')
('learnt', 'VBD')
('.', '.')
('You', 'PRP')
("'ve", 'VBP')
('got', 'VBN')
('go', 'VBP')
('upon', 'IN')
('ice', 'NN')
(',', ',')
('cut', 'VBN')
('hole', 'NN')
('stick', 'NN')
('tail', 'NN')
(';', ':')
('must', 'MD')
('go', 'VB')
('holding', 'VBG')
('long', 'RB')
('.', '.')
('You', 'PRP')
("'re", 'VBP')
('mind', 'JJ')
('tail', 'NN')
('smarts', 'NNS')
('little', 'RB')
(';', ':')
("'s", 'POS')
('fish', 'JJ')
('bite', 'NN')
('.', '.')
('The', 'DT')
('longer', 'RBR')
('hold', 'VBP')
('fish', 'JJ')
("'ll", 'MD')
('get', 'VB')
(';', ':')
(',', ',')
('cross', 'VBP')
('pull', 'NN')
('sideways', 'NNS')
(',', ',')
('strong', 'JJ')
('pull', 'NN')
('.', '.')
("'", "''")
('Yes', 'UH')
(';', ':')
('Bear', 'NNP')
('Fox', 'NNP')
('said', 'VBD')
(',', ',')
('held', 'VBD')
('tail', 'NN')
('long', 'RB')
(',', ',')
('long', 'JJ')
('time', 'NN')
('hole', 'NN')
(',', ',')
('till', 'VB')
('fast', 'RB')
('frozen', 'JJ')
('.', '.')
('Then', 'RB')
('pulled', 'VBD')
('cross', 'NN')
('pull', 'NN')
(',', ',')
('snapped', 'VBD')
('short', 'JJ')
('.', '.')
('That', 'DT')
("'s", 'VBZ')
('Bruin', 'NNP')
('goes', 'VBZ')
('stumpy', 'JJ')
('tail', 'NN')
('day', 'NN')
('.', '.')
