('THE', 'DT')
('FATHER', 'NNP')
('AND', 'NNP')
('HIS', 'NNP')
('DAUGHTERS', 'NNP')
('A', 'NNP')
('Man', 'NNP')
('two', 'CD')
('Daughters', 'NNP')
(',', ',')
('one', 'CD')
('gave', 'VBD')
('marriage', 'NN')
('gardener', 'NN')
(',', ',')
('potter', 'NN')
('.', '.')
('After', 'IN')
('time', 'NN')
('thought', 'NN')
('would', 'MD')
('go', 'VB')
('see', 'VB')
('getting', 'VBG')
(';', ':')
('first', 'JJ')
('went', 'VBD')
('gardener', 'NN')
("'s", 'POS')
('wife', 'NN')
('.', '.')
('He', 'PRP')
('asked', 'VBD')
(',', ',')
('things', 'NNS')
('going', 'VBG')
('husband', 'NN')
('.', '.')
('She', 'PRP')
('replied', 'VBD')
('whole', 'JJ')
('well', 'RB')
(':', ':')
('``', '``')
('But', 'CC')
(',', ',')
("''", "''")
('continued', 'VBD')
(',', ',')
('``', '``')
('I', 'PRP')
('wish', 'VB')
('could', 'MD')
('good', 'VB')
('heavy', 'JJ')
('rain', 'NN')
(':', ':')
('garden', 'NN')
('wants', 'VBZ')
('badly', 'RB')
('.', '.')
("''", "''")
('Then', 'RB')
('went', 'VBD')
('potter', 'NN')
("'s", 'POS')
('wife', 'NN')
('made', 'VBD')
('inquiries', 'NNS')
('.', '.')
('She', 'PRP')
('replied', 'VBD')
('husband', 'NN')
('nothing', 'NN')
('complain', 'NN')
(':', ':')
('``', '``')
('But', 'CC')
(',', ',')
("''", "''")
('went', 'VBD')
(',', ',')
('``', '``')
('I', 'PRP')
('wish', 'VBP')
('could', 'MD')
('nice', 'VB')
('dry', 'JJ')
('weather', 'NN')
(',', ',')
('dry', 'JJ')
('pottery', 'NN')
('.', '.')
("''", "''")
('Her', 'PRP$')
('Father', 'NNP')
('looked', 'VBD')
('humorous', 'JJ')
('expression', 'NN')
('face', 'NN')
('.', '.')
('``', '``')
('You', 'PRP')
('want', 'VBP')
('dry', 'JJ')
('weather', 'NN')
(',', ',')
("''", "''")
('said', 'VBD')
(',', ',')
('``', '``')
('sister', 'NN')
('wants', 'VBZ')
('rain', 'NN')
('.', '.')
('I', 'PRP')
('going', 'VBG')
('ask', 'JJ')
('prayers', 'NNS')
('wishes', 'NNS')
('granted', 'VBD')
(';', ':')
('strikes', 'NNS')
('I', 'PRP')
('better', 'VBP')
('refer', 'NN')
('subject', 'NN')
('.', '.')
("''", "''")
