('THE', 'DT')
('FARMER', 'NNP')
('AND', 'NNP')
('FORTUNE', 'NNP')
('A', 'NNP')
('Farmer', 'NNP')
('ploughing', 'VBG')
('one', 'CD')
('day', 'NN')
('farm', 'NN')
('turned', 'VBD')
('pot', 'JJ')
('golden', 'JJ')
('coins', 'NNS')
('plough', 'IN')
('.', '.')
('He', 'PRP')
('overjoyed', 'VBD')
('discovery', 'NN')
(',', ',')
('time', 'NN')
('forth', 'NN')
('made', 'VBD')
('offering', 'VBG')
('daily', 'JJ')
('shrine', 'NN')
('Goddess', 'NNP')
('Earth', 'NNP')
('.', '.')
('Fortune', 'NNP')
('displeased', 'VBD')
(',', ',')
('came', 'VBD')
('said', 'VBD')
(',', ',')
('``', '``')
('My', 'PRP$')
('man', 'NN')
(',', ',')
('give', 'VB')
('Earth', 'NNP')
('credit', 'NN')
('gift', 'NN')
('I', 'PRP')
('bestowed', 'VBD')
('upon', 'IN')
('?', '.')
('You', 'PRP')
('never', 'RB')
('thought', 'VBD')
('thanking', 'VBG')
('good', 'JJ')
('luck', 'NN')
(';', ':')
('unlucky', 'JJ')
('enough', 'RB')
('lose', 'VBP')
('gained', 'VBN')
('I', 'PRP')
('know', 'VBP')
('well', 'RB')
('I', 'PRP')
(',', ',')
('Fortune', 'NNP')
(',', ',')
('come', 'VB')
('blame', 'NN')
('.', '.')
("''", "''")
('Show', 'NNP')
('gratitude', 'JJ')
('gratitude', 'NN')
('due', 'JJ')
('.', '.')
