('THE', 'DT')
('BABY-FARMER', 'NNP')
('Old', 'NNP')
('Kaddy', 'NNP')
('baby-farmer', 'NN')
(',', ',')
('one', 'CD')
('day', 'NN')
('went', 'VBD')
('woods', 'NNS')
('gather', 'NN')
('sticks', 'NNS')
('fire', 'NN')
(',', ',')
('whilst', 'NN')
('gathering', 'NN')
('sticks', 'NNS')
('found', 'VBD')
('piece', 'RB')
('gold', 'NN')
(',', ',')
('took', 'VBD')
('home', 'NN')
(';', ':')
('never', 'RB')
('told', 'VBD')
('anyone', 'NN')
('found', 'VBD')
('money', 'NN')
(',', ',')
('always', 'RB')
('pretended', 'VBD')
('poor', 'JJ')
('.', '.')
('But', 'CC')
('though', 'IN')
('poor', 'JJ')
(',', ',')
('used', 'VBD')
('dress', 'NN')
('two', 'CD')
('children', 'NNS')
('fine', 'JJ')
('clothes', 'NNS')
(';', ':')
('others', 'NNS')
(',', ',')
('like', 'IN')
(',', ',')
('kept', 'VBD')
('filthiest', 'JJS')
('rags', 'NNS')
('.', '.')
('One', 'CD')
('day', 'NN')
('man', 'NN')
('knocked', 'VBD')
('door', 'NN')
(',', ',')
('asked', 'VBD')
('see', 'JJ')
('children', 'NNS')
('.', '.')
('He', 'PRP')
('sat', 'VBD')
('little', 'JJ')
('room', 'NN')
(',', ',')
('went', 'VBD')
('brought', 'VBN')
('ragged', 'VBN')
('little', 'JJ')
('boy', 'JJ')
('girl', 'NN')
(',', ',')
('saying', 'VBG')
('poor', 'JJ')
(',', ',')
('�', 'NNP')
('afford', 'NN')
('dress', 'NN')
('better', 'RBR')
(';', ':')
('careful', 'JJ')
('hide', 'VB')
('well-dressed', 'JJ')
('little', 'JJ')
('boy', 'JJ')
('girl', 'NN')
('cockloft', 'NN')
('.', '.')
('After', 'IN')
('stranger', 'NN')
('gone', 'VBN')
('went', 'VBD')
('cockloft', 'JJ')
('look', 'NN')
('well-dressed', 'JJ')
('favourites', 'NNS')
(',', ',')
('disappeared', 'VBD')
(',', ',')
('never', 'RB')
('seen', 'VBN')
('afterwards', 'NNS')
(',', ',')
('turned', 'VBD')
('fairies', 'NNS')
('.', '.')
