('WHY', 'WRB')
('THE', 'DT')
('GOLDFINCHES', 'NNP')
('LOOK', 'NNP')
('LIKE', 'IN')
('THE', 'NNP')
('SUN', 'NNP')
('It', 'PRP')
('moons', 'VBZ')
('coon', 'NN')
('outwitted', 'VBD')
('fox', 'NN')
(',', ',')
('met', 'VBD')
('.', '.')
('The', 'DT')
('coon', 'NN')
('hurrying', 'NN')
(',', ',')
('fox', 'NN')
('saw', 'NN')
('.', '.')
('Now', 'RB')
('fox', 'VBZ')
('forgotten', 'JJ')
('trick', 'JJ')
('coon', 'NN')
('played', 'VBD')
('.', '.')
('His', 'PRP$')
('head', 'NN')
('still', 'RB')
('sore', 'RB')
('great', 'JJ')
('thump', 'NN')
('apple', 'NN')
('tree', 'NN')
('.', '.')
('So', 'RB')
('fox', 'RB')
('started', 'JJ')
('coon', 'NN')
('.', '.')
('He', 'PRP')
('gaining', 'NN')
(',', ',')
('would', 'MD')
('caught', 'VB')
(',', ',')
('come', 'VB')
('tall', 'JJ')
('pine', 'NN')
('tree', 'NN')
('.', '.')
('The', 'DT')
('coon', 'NN')
('ran', 'VBD')
('tiptop', 'JJ')
('pine', 'NN')
('tree', 'NN')
('.', '.')
('There', 'EX')
('safe', 'JJ')
(',', ',')
('fox', 'NN')
('could', 'MD')
('climb', 'VB')
('.', '.')
('The', 'DT')
('fox', 'JJ')
('lay', 'NN')
('soft', 'JJ')
('pine', 'NN')
('needles', 'NNS')
('waited', 'VBD')
('coon', 'NN')
('come', 'NN')
('.', '.')
('The', 'DT')
('coon', 'NN')
('stayed', 'VBD')
('pine', 'JJ')
('tree', 'NN')
('long', 'RB')
('fox', 'JJ')
('grew', 'VBD')
('tired', 'JJ')
('sleepy', 'NN')
('.', '.')
('He', 'PRP')
('closed', 'VBD')
('eyes', 'NNS')
('thought', 'VBN')
('would', 'MD')
('take', 'VB')
('short', 'JJ')
('nap', 'NN')
('.', '.')
('The', 'DT')
('coon', 'NN')
('watched', 'VBD')
(',', ',')
('saw', 'VBD')
('fox', 'JJ')
('sound', 'JJ')
('asleep', 'NN')
('.', '.')
('Then', 'RB')
('took', 'VBD')
('mouth', 'NNP')
('pitch', 'NN')
('pine', 'NN')
('tree', 'NN')
('.', '.')
