('HOW', 'WRB')
('ONE', 'CD')
('WENT', 'VBZ')
('OUT', 'IN')
('TO', 'NNP')
('WOO', 'NNP')
('Once', 'NNP')
('time', 'NN')
('lad', 'JJ')
('went', 'VBD')
('woo', 'JJ')
('wife', 'NN')
('.', '.')
('Amongst', 'NNP')
('places', 'NNS')
(',', ',')
('came', 'VBD')
('farm-house', 'RB')
(',', ',')
('household', 'NN')
('little', 'JJ')
('better', 'JJR')
('beggars', 'NNS')
(';', ':')
('wooer', 'NN')
('came', 'VBD')
(',', ',')
('wanted', 'VBD')
('make', 'NN')
('well', 'RB')
(',', ',')
('may', 'MD')
('guess', 'VB')
('.', '.')
('Now', 'RB')
('husband', 'VBZ')
('got', 'VBD')
('new', 'JJ')
('arm', 'NN')
('coat', 'NN')
('.', '.')
("'Pray", 'NN')
(',', ',')
('take', 'VBP')
('seat', 'NN')
("'", "''")
(',', ',')
('said', 'VBD')
('wooer', 'NN')
(';', ':')
("'but", 'CC')
("'s", 'POS')
('shocking', 'VBG')
('dust', 'NN')
('house', 'NN')
('.', '.')
("'", "''")
('So', 'RB')
('went', 'VBD')
('rubbing', 'VBG')
('wiping', 'VBG')
('benches', 'NNS')
('tables', 'VBZ')
('new', 'JJ')
('arm', 'NN')
(',', ',')
('kept', 'VBD')
('behind', 'IN')
('back', 'NN')
('.', '.')
('The', 'DT')
('wife', 'NN')
('got', 'VBD')
('one', 'CD')
('new', 'JJ')
('shoe', 'NN')
(',', ',')
('went', 'VBD')
('stamping', 'VBG')
('sliding', 'NN')
('stools', 'NNS')
('chairs', 'NNS')
(',', ',')
('saying', 'VBG')
(',', ',')
("'How", "''")
('untidy', 'JJ')
('!', '.')
('Everything', 'VBG')
('place', 'NN')
('!', '.')
("'", "''")
('Then', 'RB')
('called', 'VBD')
('daughter', 'NN')
('come', 'NN')
('put', 'VBD')
('things', 'NNS')
('rights', 'NNS')
(';', ':')
('daughter', 'NN')
(',', ',')
('got', 'VBD')
('new', 'JJ')
('cap', 'NN')
(';', ':')
('put', 'VBN')
('head', 'NN')
('door', 'NN')
(',', ',')
('kept', 'VBD')
('nodding', 'VBG')
('nodding', 'NN')
(',', ',')
('first', 'JJ')
('side', 'NN')
(',', ',')
('.', '.')
("'Well", 'NN')
('!', '.')
('part', 'NN')
("'", "''")
(',', ',')
('said', 'VBD')
(',', ',')
("'", "''")
('I', 'PRP')
('ca', 'MD')
("n't", 'RB')
('everywhere', 'VB')
('.', '.')
("'", "''")
('Aye', 'NN')
('!', '.')
('aye', 'NN')
('!', '.')
('well-to-do', 'JJ')
('household', 'NN')
('wooer', 'NN')
('come', 'NN')
('.', '.')
