('WHAT', 'WP')
('HAPPENED', 'VBD')
('TO', 'NNP')
('THE', 'NNP')
('LONE', 'NNP')
('WOMAN', 'NNP')
('OF', 'NNP')
('ST', 'NNP')
('MICHAEL', 'NNP')
('The', 'DT')
('women', 'NNS')
('south', 'JJ')
('St.', 'NNP')
('Michael', 'NNP')
('poor', 'JJ')
('seamstresses', 'NNS')
('fine', 'JJ')
('dancers', 'NNS')
(',', ',')
('north', 'JJ')
('expert', 'JJ')
('needlewomen', 'NNS')
('poor', 'JJ')
('dancers', 'NNS')
(';', ':')
('way', 'NN')
('Eskimo', 'NNP')
('explain', 'NN')
('.', '.')
('Very', 'RB')
('long', 'RB')
('ago', 'RB')
('many', 'JJ')
('men', 'NNS')
('living', 'VBG')
('northland', 'NN')
(',', ',')
('woman', 'NN')
('among', 'IN')
('.', '.')
('Far', 'NNP')
('away', 'RB')
('southland', 'VBP')
('single', 'JJ')
('woman', 'NN')
('known', 'VBN')
('live', 'JJ')
('.', '.')
('At', 'IN')
('last', 'JJ')
('shrewdest', 'JJ')
('young', 'JJ')
('man', 'NN')
('northland', 'NN')
('started', 'VBD')
('traveled', 'JJ')
('southward', 'NN')
('till', 'NN')
('came', 'VBD')
('woman', 'NN')
("'s", 'POS')
('house', 'NN')
(',', ',')
('stopped', 'VBD')
('became', 'VBD')
('husband', 'NN')
('.', '.')
('He', 'PRP')
('proud', 'VBZ')
('getting', 'VBG')
('ahead', 'RB')
('young', 'JJ')
('men', 'NNS')
('north', 'RB')
('.', '.')
('One', 'CD')
('day', 'NN')
('sat', 'VBD')
('house', 'NN')
('thinking', 'VBG')
('former', 'JJ')
('home', 'NN')
(',', ',')
('said', 'VBD')
(',', ',')
('``', '``')
('Ah', 'NNP')
(',', ',')
('I', 'PRP')
('wife', 'NN')
(',', ',')
('even', 'RB')
('son', 'JJ')
('Headman', 'NNP')
('none', 'NN')
('.', '.')
("''", "''")
('Meanwhile', 'RB')
(',', ',')
('Headman', 'NNP')
("'s", 'POS')
('son', 'NN')
('also', 'RB')
('set', 'VBD')
('journey', 'NN')
('toward', 'IN')
('south', 'JJ')
(',', ',')
('husband', 'VB')
('talking', 'VBG')
('thus', 'RB')
(',', ',')
('son', 'NN')
('stood', 'VBD')
('entrance', 'NN')
('house', 'NN')
('heard', 'NN')
('said', 'VBD')
('.', '.')
('It', 'PRP')
('angered', 'VBD')
('son', 'JJ')
('hear', 'JJ')
('husband', 'NN')
('gloating', 'NN')
('.', '.')
('He', 'PRP')
('hid', 'VBZ')
('passage', 'NN')
('waited', 'VBD')
('people', 'NNS')
('inside', 'IN')
('asleep', 'RB')
(',', ',')
('crept', 'JJ')
('house', 'NN')
(',', ',')
('seizing', 'VBG')
('woman', 'NN')
('shoulders', 'NNS')
(',', ',')
('began', 'VBD')
('dragging', 'VBG')
('away', 'RB')
('.', '.')
('Just', 'RB')
('reached', 'VBN')
('doorway', 'RB')
('overtaken', 'JJ')
('husband', 'NN')
('caught', 'VBD')
('woman', 'NN')
('feet', 'NNS')
('.', '.')
('The', 'DT')
('two', 'CD')
('held', 'VBD')
('like', 'IN')
('grim', 'JJ')
('death', 'NN')
('tugged', 'VBD')
('pulled', 'VBN')
('ended', 'VBN')
('woman', 'NN')
('torn', 'JJ')
('two', 'CD')
('.', '.')
('The', 'DT')
('thief', 'NN')
('carried', 'VBD')
('upper', 'JJ')
('half', 'NN')
('body', 'NN')
('away', 'RB')
(',', ',')
('husband', 'NN')
('left', 'VBD')
('lower', 'JJR')
('portion', 'NN')
('wife', 'NN')
('.', '.')
('Each', 'DT')
('man', 'NN')
('set', 'VBN')
('work', 'NN')
('replace', 'VB')
('missing', 'VBG')
('parts', 'NNS')
('carved', 'VBD')
('wood', 'NN')
('.', '.')
('After', 'IN')
('parts', 'NNS')
('fitted', 'VBD')
('came', 'VBD')
('life', 'NN')
(';', ':')
('thus', 'RB')
('two', 'CD')
('women', 'NNS')
('made', 'VBD')
('halves', 'NNS')
('one', 'CD')
('.', '.')
('Owing', 'VBG')
('clumsiness', 'NN')
('wooden', 'JJ')
('fingers', 'NNS')
(',', ',')
('woman', 'NN')
('south', 'JJ')
('poor', 'JJ')
('needlewoman', 'NN')
(',', ',')
('fine', 'JJ')
('dancer', 'NN')
('.', '.')
('The', 'DT')
('woman', 'NN')
('north', 'JJ')
('expert', 'JJ')
('needlework', 'NN')
(',', ',')
('wooden', 'JJ')
('legs', 'NNS')
('made', 'VBN')
('poor', 'JJ')
('dancer', 'NN')
('.', '.')
('Each', 'DT')
('women', 'NNS')
('gave', 'VBD')
('traits', 'NNS')
('daughters', 'NNS')
(',', ',')
('present', 'JJ')
('time', 'NN')
('difference', 'NN')
('noted', 'VBD')
('women', 'NNS')
('north', 'JJ')
('south', 'RB')
(',', ',')
('``', '``')
('thus', 'RB')
('showing', 'VBG')
('story', 'NN')
('true', 'JJ')
('.', '.')
("''", "''")
