('THE', 'DT')
('WOLF', 'NNP')
('IN', 'NNP')
('SHEEP', 'NNP')
("'S", 'POS')
('CLOTHING', 'NN')
('A', 'NNP')
('Wolf', 'NNP')
('resolved', 'VBD')
('disguise', 'JJ')
('order', 'NN')
('might', 'MD')
('prey', 'VB')
('upon', 'IN')
('flock', 'NN')
('sheep', 'NN')
('without', 'IN')
('fear', 'JJ')
('detection', 'NN')
('.', '.')
('So', 'RB')
('clothed', 'JJ')
('sheepskin', 'NN')
(',', ',')
('slipped', 'VBD')
('among', 'IN')
('sheep', 'JJ')
('pasture', 'NN')
('.', '.')
('He', 'PRP')
('completely', 'RB')
('deceived', 'VBD')
('shepherd', 'NN')
(',', ',')
('flock', 'NN')
('penned', 'VBD')
('night', 'NN')
('shut', 'NN')
('rest', 'NN')
('.', '.')
('But', 'CC')
('night', 'NN')
('happened', 'VBD')
(',', ',')
('shepherd', 'NN')
(',', ',')
('requiring', 'VBG')
('supply', 'NN')
('mutton', 'NN')
('table', 'NN')
(',', ',')
('laid', 'VBD')
('hands', 'NNS')
('Wolf', 'NNP')
('mistake', 'NN')
('Sheep', 'NNP')
(',', ',')
('killed', 'VBD')
('knife', 'NN')
('spot', 'NN')
('.', '.')
