('THE', 'DT')
('SICK', 'NNP')
('STAG', 'NNP')
('A', 'NNP')
('Stag', 'NNP')
('fell', 'VBD')
('sick', 'JJ')
('lay', 'NN')
('clearing', 'VBG')
('forest', 'JJS')
(',', ',')
('weak', 'JJ')
('move', 'NN')
('spot', 'NN')
('.', '.')
('When', 'WRB')
('news', 'NN')
('illness', 'NN')
('spread', 'NN')
(',', ',')
('number', 'NN')
('beasts', 'NNS')
('came', 'VBD')
('inquire', 'JJ')
('health', 'NN')
(',', ',')
('one', 'CD')
('nibbled', 'VBD')
('little', 'JJ')
('grass', 'NN')
('grew', 'VBD')
('round', 'NN')
('invalid', 'NN')
('till', 'NN')
('last', 'JJ')
('blade', 'NN')
('within', 'IN')
('reach', 'NN')
('.', '.')
('In', 'IN')
('days', 'NNS')
('began', 'VBD')
('mend', 'JJ')
(',', ',')
('still', 'RB')
('feeble', 'JJ')
('get', 'NN')
('go', 'VBP')
('search', 'NN')
('fodder', 'NN')
(';', ':')
('thus', 'RB')
('perished', 'VBD')
('miserably', 'RB')
('hunger', 'RBR')
('owing', 'VBG')
('thoughtlessness', 'JJ')
('friends', 'NNS')
('.', '.')
