('THE', 'DT')
('SNAKE', 'NNP')
('AND', 'NNP')
('JUPITER', 'NNP')
('A', 'NNP')
('Snake', 'NNP')
('suffered', 'VBD')
('good', 'JJ')
('deal', 'NN')
('constantly', 'RB')
('trodden', 'VBZ')
('upon', 'IN')
('man', 'NN')
('beast', 'NN')
(',', ',')
('owing', 'VBG')
('partly', 'RB')
('length', 'VBZ')
('body', 'NN')
('partly', 'RB')
('unable', 'JJ')
('raise', 'NN')
('surface', 'NN')
('ground', 'NN')
(':', ':')
('went', 'VBD')
('complained', 'JJ')
('Jupiter', 'NNP')
('risks', 'NNS')
('exposed', 'VBD')
('.', '.')
('But', 'CC')
('Jupiter', 'NNP')
('little', 'JJ')
('sympathy', 'NN')
('.', '.')
('``', '``')
('I', 'PRP')
('dare', 'VBP')
('say', 'VB')
(',', ',')
("''", "''")
('said', 'VBD')
(',', ',')
('``', '``')
('bitten', 'VB')
('first', 'JJ')
('trod', 'NN')
(',', ',')
('others', 'NNS')
('would', 'MD')
('taken', 'VBN')
('trouble', 'NN')
('look', 'NN')
('put', 'VBD')
('feet', 'NNS')
('.', '.')
("''", "''")
