('THE', 'DT')
('FOX', 'NNP')
('WITHOUT', 'NNP')
('A', 'NNP')
('TAIL', 'NNP')
('A', 'NNP')
('fox', 'NN')
('fell', 'VBD')
('trap', 'RB')
(',', ',')
('struggle', 'NN')
('managed', 'VBD')
('get', 'VB')
('free', 'JJ')
(',', ',')
('loss', 'NN')
('brush', 'NN')
('.', '.')
('He', 'PRP')
('much', 'RB')
('ashamed', 'VBD')
('appearance', 'NN')
('thought', 'VBN')
('life', 'NN')
('worth', 'IN')
('living', 'VBG')
('unless', 'IN')
('could', 'MD')
('persuade', 'VB')
('Foxes', 'NNP')
('part', 'NN')
('tails', 'NNS')
('also', 'RB')
(',', ',')
('thus', 'RB')
('divert', 'JJ')
('attention', 'NN')
('loss', 'NN')
('.', '.')
('So', 'RB')
('called', 'JJ')
('meeting', 'NN')
('Foxes', 'NNP')
(',', ',')
('advised', 'VBD')
('cut', 'NN')
('tails', 'NNS')
(':', ':')
('``', '``')
('They', 'PRP')
("'re", 'VBP')
('ugly', 'JJ')
('things', 'NNS')
('anyhow', 'NN')
(',', ',')
("''", "''")
('said', 'VBD')
(',', ',')
('``', '``')
('besides', 'IN')
("'re", 'VBP')
('heavy', 'JJ')
(',', ',')
("'s", 'POS')
('tiresome', 'NN')
('always', 'RB')
('carrying', 'VBG')
('.', '.')
("''", "''")
('But', 'CC')
('one', 'CD')
('Foxes', 'NNP')
('said', 'VBD')
(',', ',')
("''", "''")
('My', 'NNP')
('friend', 'NN')
(',', ',')
("n't", 'RB')
('lost', 'VBD')
('tail', 'NN')
(',', ',')
('would', 'MD')
("n't", 'RB')
('keen', 'VB')
('getting', 'VBG')
('us', 'PRP')
('cut', 'VB')
('.', '.')
("''", "''")
