('THE', 'DT')
('DEBTOR', 'NNP')
('AND', 'NNP')
('HIS', 'NNP')
('SOW', 'NNP')
('A', 'NNP')
('Man', 'NNP')
('Athens', 'NNP')
('fell', 'VBD')
('debt', 'NN')
('pressed', 'VBN')
('money', 'NN')
('creditor', 'NN')
(';', ':')
('means', 'VBZ')
('paying', 'VBG')
('time', 'NN')
(',', ',')
('begged', 'VBN')
('delay', 'NN')
('.', '.')
('But', 'CC')
('creditor', 'NN')
('refused', 'VBD')
('said', 'VBD')
('must', 'MD')
('pay', 'VB')
('.', '.')
('Then', 'RB')
('Debtor', 'NNP')
('fetched', 'VBD')
('Sow', 'NNP')
('--', ':')
('one', 'CD')
('--', ':')
('took', 'VBD')
('market', 'NN')
('offer', 'NN')
('sale', 'NN')
('.', '.')
('It', 'PRP')
('happened', 'VBD')
('creditor', 'NN')
('.', '.')
('Presently', 'RB')
('buyer', 'NN')
('came', 'VBD')
('along', 'RB')
('asked', 'VBN')
('Sow', 'NNP')
('produced', 'VBD')
('good', 'JJ')
('litters', 'NNS')
('.', '.')
('``', '``')
('Yes', 'UH')
(',', ',')
("''", "''")
('said', 'VBD')
('Debtor', 'NNP')
(',', ',')
('``', '``')
('fine', 'JJ')
('ones', 'NNS')
(';', ':')
('remarkable', 'JJ')
('thing', 'NN')
('produces', 'VBZ')
('females', 'JJ')
('Mysteries', 'NNS')
('males', 'NNS')
('Panathenea', 'NNP')
('.', '.')
("''", "''")
('(', '(')
('Festivals', 'NNS')
(':', ':')
('Athenians', 'NNPS')
('always', 'RB')
('sacrifice', 'RB')
('sow', 'JJ')
('one', 'CD')
(',', ',')
('boar', 'NN')
(';', ':')
('Dionysia', 'NNP')
('sacrifice', 'NN')
('kid', 'NN')
('.', '.')
(')', ')')
('At', 'IN')
('creditor', 'NN')
(',', ',')
('standing', 'VBG')
(',', ',')
('put', 'VBD')
(',', ',')
("''", "''")
('Do', 'VBP')
("n't", 'RB')
('surprised', 'VBN')
(',', ',')
('sir', 'NN')
(';', ':')
(',', ',')
('still', 'RB')
('better', 'RBR')
(',', ',')
('Dionysia', 'NNP')
('Sow', 'NNP')
('kids', 'NNS')
('!', '.')
("''", "''")
