('THE', 'DT')
('MISTRESS', 'NNP')
('AND', 'NNP')
('HER', 'NNP')
('SERVANTS', 'NNP')
('A', 'NNP')
('Widow', 'NNP')
(',', ',')
('thrifty', 'RB')
('industrious', 'JJ')
(',', ',')
('two', 'CD')
('servants', 'NNS')
(',', ',')
('kept', 'VBD')
('pretty', 'RB')
('hard', 'JJ')
('work', 'NN')
('.', '.')
('They', 'PRP')
('allowed', 'VBD')
('lie', 'NNS')
('long', 'RB')
('abed', 'JJ')
('mornings', 'NNS')
(',', ',')
('old', 'JJ')
('lady', 'NN')
('soon', 'RB')
('cock', 'NN')
('crew', 'NN')
('.', '.')
('They', 'PRP')
('disliked', 'VBD')
('intensely', 'RB')
('get', 'VB')
('hour', 'NN')
(',', ',')
('especially', 'RB')
('winter-time', 'JJ')
(':', ':')
('thought', 'NN')
('cock', 'NN')
('waking', 'VBG')
('Mistress', 'NNP')
('horribly', 'RB')
('early', 'RB')
(',', ',')
('could', 'MD')
('sleep', 'VB')
('longer', 'JJR')
('.', '.')
('So', 'RB')
('caught', 'JJ')
('wrung', 'NN')
('neck', 'NN')
('.', '.')
('But', 'CC')
('prepared', 'JJ')
('consequences', 'NNS')
('.', '.')
('For', 'IN')
('happened', 'VBN')
('Mistress', 'NNP')
(',', ',')
('hearing', 'VBG')
('cock', 'NN')
('crow', 'NN')
('usual', 'JJ')
(',', ',')
('waked', 'VBD')
('earlier', 'RBR')
('ever', 'RB')
(',', ',')
('set', 'VBN')
('work', 'NN')
('middle', 'JJ')
('night', 'NN')
('.', '.')
