('THE', 'DT')
('GARDENER', 'NNP')
('AND', 'NNP')
('HIS', 'NNP')
('DOG', 'NNP')
('A', 'NNP')
('Gardner', 'NNP')
("'s", 'POS')
('Dog', 'NNP')
('fell', 'VBD')
('deep', 'RB')
('well', 'RB')
(',', ',')
('master', 'NN')
('used', 'VBN')
('draw', 'JJ')
('water', 'NN')
('plants', 'NNS')
('garden', 'VBP')
('rope', 'NN')
('bucket', 'NN')
('.', '.')
('Failing', 'VBG')
('get', 'VB')
('Dog', 'NNP')
('means', 'NNS')
(',', ',')
('Gardener', 'NNP')
('went', 'VBD')
('well', 'RB')
('order', 'NN')
('fetch', 'NN')
('.', '.')
('But', 'CC')
('Dog', 'NNP')
('thought', 'VBD')
('come', 'VB')
('make', 'JJ')
('sure', 'JJ')
('drowning', 'NN')
(';', ':')
('bit', 'CC')
('master', 'JJ')
('soon', 'RB')
('came', 'VBD')
('within', 'IN')
('reach', 'NN')
(',', ',')
('hurt', 'VB')
('good', 'JJ')
('deal', 'NN')
(',', ',')
('result', 'NN')
('left', 'VBD')
('Dog', 'NNP')
('fate', 'NN')
('climbed', 'VBD')
('well', 'RB')
(',', ',')
('remarking', 'VBG')
(',', ',')
("''", "''")
('It', 'PRP')
('serves', 'VBZ')
('quite', 'RB')
('right', 'JJ')
('trying', 'VBG')
('save', 'NN')
('determined', 'VBN')
('suicide', 'NN')
('.', '.')
("''", "''")
