('WHEN', 'WRB')
('WHEAT', 'NNP')
('WORKED', 'NNP')
('WOE', 'NNP')
('Many', 'NNP')
('day', 'NN')
('story-teller', 'NN')
('wandered', 'VBD')
('along', 'IN')
('dykes', 'NNS')
(',', ',')
('overlook', 'NN')
('Zuyder', 'NNP')
('Zee', 'NNP')
('.', '.')
('Once', 'RB')
('fertile', 'JJ')
('fields', 'NNS')
(',', ',')
('scores', 'NNS')
('towns', 'NNS')
(',', ',')
('water', 'NN')
('covers', 'NNS')
('.', '.')
('Then', 'RB')
('fleets', 'VBZ')
('ships', 'NNS')
('sailed', 'VBD')
('bosom', 'NNS')
('Lake', 'NNP')
('Flevo', 'NNP')
(',', ',')
('river', 'NN')
('ran', 'VBD')
('sea', 'NN')
('.', '.')
('Bright', 'NNP')
('beautiful', 'JJ')
('cities', 'NNS')
('dotted', 'VBN')
('shores', 'NNS')
(',', ',')
('church', 'NN')
('bells', 'NNS')
('chimed', 'VBD')
('merrily', 'RB')
('bridal', 'JJ')
(',', ',')
('tolled', 'VBD')
('sympathy', 'JJ')
('sorrowing', 'NN')
('.', '.')
('Many', 'JJ')
('festal', 'JJ')
('days', 'NNS')
(',', ',')
('wealth', 'NN')
(',', ',')
('ships', 'NNS')
('brought', 'VBD')
('lands', 'NNS')
('near', 'IN')
('far', 'RB')
('.', '.')
('But', 'CC')
('to-day', 'JJ')
('waters', 'NNS')
('roll', 'VBP')
('spot', 'NN')
('``', '``')
('The', 'DT')
('Dead', 'JJ')
('Cities', 'NNPS')
('Zuyder', 'NNP')
('Zee', 'NNP')
("''", "''")
('proverb', 'NN')
('.', '.')
('Yet', 'RB')
('dead', 'JJ')
(',', ',')
('one', 'CD')
('sense', 'NN')
('.', '.')
('Some', 'DT')
('lie', 'NN')
('far', 'RB')
('waves', 'VBZ')
(',', ',')
('names', 'RB')
('forgotten', 'VBN')
(',', ',')
('ocean', 'PRP')
("'s", 'VBZ')
('flood', 'NN')
(',', ',')
('one', 'CD')
('night', 'NN')
(',', ',')
('centuries', 'NNS')
('ago', 'RB')
(',', ',')
('rushed', 'VBD')
('destroy', 'NN')
('.', '.')
('Others', 'NNS')
('languished', 'VBD')
(',', ',')
('wealth', 'NN')
('came', 'VBD')
('longer', 'RBR')
('ships', 'NNS')
(',', ',')
('seaports', 'NNS')
('dried', 'VBD')
('.', '.')
('And', 'CC')
('one', 'CD')
(',', ',')
('foolish', 'JJ')
('woman', 'NN')
(',', ',')
('instead', 'RB')
('holding', 'VBG')
('thousands', 'NNS')
('homes', 'NNS')
('people', 'NNS')
(',', ',')
('to-day', 'JJ')
('village', 'NN')
('nestling', 'VBG')
('behind', 'IN')
('dykes', 'NNS')
('.', '.')
('It', 'PRP')
('holds', 'VBZ')
('hundred', 'JJ')
('people', 'NNS')
('fragment', 'JJ')
('land', 'NN')
('remains', 'VBZ')
('great', 'JJ')
('area', 'NN')
('.', '.')
('In', 'IN')
('distant', 'JJ')
('ages', 'NNS')
('ice', 'VBP')
('gravel', 'NN')
(',', ',')
('long', 'RB')
('high', 'JJ')
('glaciers', 'NNS')
('Norway', 'NNP')
('poked', 'VBD')
('cold', 'JJ')
('noses', 'NNS')
('Friesland', 'NNP')
(',', ',')
('Stavoren', 'NNP')
('held', 'VBD')
('shrine', 'JJ')
('Stavo', 'NNP')
(',', ',')
