('THE', 'DT')
('TRAVELLER', 'NNP')
('AND', 'NNP')
('HIS', 'NNP')
('DOG', 'NNP')
('A', 'NNP')
('Traveller', 'NNP')
('start', 'NN')
('journey', 'NN')
(',', ',')
('said', 'VBD')
('Dog', 'NNP')
(',', ',')
('stretching', 'VBG')
('door', 'NN')
(',', ',')
('``', '``')
('Come', 'NNP')
(',', ',')
('yawning', 'VBG')
('?', '.')
('Hurry', 'NNP')
('get', 'VBP')
('ready', 'JJ')
(':', ':')
('I', 'PRP')
('mean', 'VBP')
('go', 'VB')
('.', '.')
("''", "''")
('But', 'CC')
('Dog', 'NNP')
('merely', 'RB')
('wagged', 'VBD')
('tail', 'NN')
('said', 'VBD')
('quietly', 'RB')
(',', ',')
('``', '``')
('I', 'PRP')
("'m", 'VBP')
('ready', 'JJ')
(',', ',')
('master', 'NN')
(':', ':')
("'s", 'POS')
("I'm", 'NNP')
('waiting', 'NN')
('.', '.')
("''", "''")
