('KAZHA-NDII', 'NNP')
('There', 'EX')
('king', 'VBG')
('three', 'CD')
('sons', 'NNS')
('three', 'CD')
('daughters', 'NNS')
('.', '.')
('When', 'WRB')
('day', 'NN')
('death', 'NN')
('come', 'NN')
(',', ',')
('called', 'VBN')
('children', 'NNS')
(',', ',')
('said', 'VBD')
('sons', 'NNS')
(':', ':')
("'Hearken", 'CD')
(',', ',')
('see', 'VBP')
('ye', 'JJ')
('fulfil', 'NN')
('.', '.')
('When', 'WRB')
('I', 'PRP')
('die', 'VBP')
(',', ',')
('let', 'VB')
('watch', 'VB')
('tomb', 'VB')
('one', 'CD')
('week', 'NN')
(',', ',')
('give', 'VB')
('maidens', 'NNS')
('suitors', 'NNS')
('ask', 'VB')
('hands', 'NNS')
('.', '.')
("'", "''")
('After', 'IN')
('said', 'VBD')
('farewell', 'NN')
(',', ',')
('king', 'VBG')
('died', 'VBN')
('.', '.')
('He', 'PRP')
('buried', 'VBD')
(',', ',')
('first', 'JJ')
('night', 'NN')
('eldest', 'JJS')
('brother', 'NN')
('went', 'VBD')
('guard', 'RB')
('grave', 'NN')
('.', '.')
('But', 'CC')
('short', 'JJ')
('time', 'NN')
('something', 'NN')
('began', 'VBD')
('approach', 'JJ')
('mighty', 'NN')
('noise', 'NN')
(',', ',')
('came', 'VBD')
('near', 'RB')
(',', ',')
('strong', 'JJ')
('drove', 'NN')
('prince', 'NN')
('enclosure', 'NN')
('.', '.')
('From', 'IN')
('distance', 'NN')
(',', ',')
('prince', 'NN')
('saw', 'VBD')
('come', 'JJ')
('noise', 'NN')
('went', 'VBD')
('king', 'VBG')
("'s", 'POS')
('grave', 'NN')
(',', ',')
('dug', 'NN')
('corpse', 'NN')
(',', ',')
('wept', 'WP')
('till', 'IN')
('morning', 'NN')
(';', ':')
('morning', 'NN')
('came', 'VBD')
(',', ',')
('buried', 'VBD')
('corpse', 'NN')
('earth', 'NN')
(',', ',')
('went', 'VBD')
('away', 'RB')
('.', '.')
('When', 'WRB')
('prince', 'NN')
('reached', 'VBD')
('home', 'NN')
(',', ',')
('ashamed', 'VBD')
('say', 'VBP')
('anything', 'NN')
('happened', 'VBD')
('.', '.')
('At', 'IN')
('time', 'NN')
(',', ',')
('elder', 'FW')
('brothers', 'NNS')
('set', 'VBP')
('chase', 'NN')
(';', ':')
('youngest', 'JJS')
('brother', 'NN')
('left', 'VBD')
('home', 'NN')
(',', ',')
('heard', 'JJ')
('voice', 'NN')
('looked', 'VBD')
('round', 'NN')
('.', '.')
('It', 'PRP')
('turned', 'VBD')
('suitor', 'JJ')
('hand', 'NN')
('sister', 'NN')
('.', '.')
('He', 'PRP')
('took', 'VBD')
('gave', 'VBD')
('eldest', 'JJS')
('sister', 'NN')
('.', '.')
('Soon', 'RB')
(',', ',')
('heard', 'JJ')
('voice', 'NN')
('.', '.')
('The', 'DT')
('prince', 'NN')
('looked', 'VBD')
('round', 'NN')
('--', ':')
('another', 'DT')
('suitor', 'NN')
('come', 'NN')
('.', '.')
('The', 'DT')
('absence', 'NN')
('brothers', 'NNS')
('somewhat', 'RB')
('disturbed', 'VBD')
(',', ',')
(',', ',')
('according', 'VBG')
('father', 'NN')
("'s", 'POS')
(',', ',')
('married', 'VBD')
('second', 'JJ')
('sister', 'NN')
('also', 'RB')
('.', '.')
('A', 'DT')
('little', 'JJ')
('later', 'RB')
(',', ',')
('third', 'JJ')
('voice', 'NN')
('heard', 'NN')
(',', ',')
('gave', 'VBD')
('third', 'JJ')
('sister', 'NN')
('.', '.')
('In', 'IN')
('evening', 'VBG')
(',', ',')
('two', 'CD')
('elder', 'JJR')
('brothers', 'NNS')
('came', 'VBD')
('home', 'NN')
(',', ',')
('see', 'VBP')
('sisters', 'NNS')
(';', ':')
('asked', 'VBN')
('youngest', 'JJS')
(',', ',')
('told', 'VBD')
('happened', 'VBN')
('.', '.')
('They', 'PRP')
('pleased', 'VBD')
(',', ',')
('sent', 'VBD')
('feed', 'NN')
('sheep', 'NN')
('.', '.')
('That', 'DT')
('night', 'NN')
('middle', 'VB')
('brother', 'NN')
('went', 'VBD')
('guard', 'JJ')
('king', 'NN')
("'s", 'POS')
('grave', 'NN')
(';', ':')
('thing', 'NN')
('happened', 'VBD')
('elder', 'RBR')
('brother', 'NN')
(',', ',')
('silent', 'JJ')
('subject', 'NN')
('.', '.')
('When', 'WRB')
('reached', 'VBN')
('home', 'NN')
(',', ',')
('youngest', 'JJS')
('brother', 'NN')
('began', 'VBD')
('entreat', 'JJ')
('elder', 'NN')
('brothers', 'NNS')
(',', ',')
('saying', 'VBG')
(':', ':')
("'Be", 'CD')
(',', ',')
('let', 'VB')
('also', 'RB')
('watch', 'VB')
('father', 'NN')
("'s", 'POS')
('grave', 'NN')
('.', '.')
("'", "''")
('But', 'CC')
('angry', 'JJ')
(',', ',')
('answered', 'VBD')
(':', ':')
("'Get", 'CD')
('thee', 'NN')
('gone', 'VBN')
(',', ',')
('couldst', 'VB')
('thou', 'JJ')
('guard', 'NN')
('grave', 'NN')
('able', 'JJ')
('!', '.')
("'", "''")
('But', 'CC')
('afterwards', 'NNS')
('said', 'VBD')
('one', 'CD')
(':', ':')
("'Let", 'VB')
('us', 'PRP')
('allow', 'VB')
('go', 'VB')
('.', '.')
("'", "''")
('So', 'RB')
('youth', 'JJ')
('went', 'VBD')
(',', ',')
('came', 'VBD')
('tomb', 'NN')
('father', 'NN')
